city,companyField,companyName,companySize,detailLink,experience,full_or_parttime,month_salary,positionName,qualification
北京,金融,京东金融,2000人以上,https://www.lagou.com/jobs/5136308.html,5-10年,全职,25k-50k,数据分析师,硕士
,,,,,,,,,
北京,金融,阳光保险集团股份有限公司,2000人以上,https://www.lagou.com/jobs/4313117.html,3-5年,全职,15k-25k,数据分析岗,本科
,,,,,,,,,
烟台,"数据服务,广告营销",秒针信息技术有限公司,500-2000人,https://www.lagou.com/jobs/4746152.html,不限,全职,3k-4k,数据分析师,本科
,,,,,,,,,
上海,移动互联网,遨游酒店信息技术(深圳)有限责任公司,500-2000人,https://www.lagou.com/jobs/5079157.html,1-3年,全职,6k-12k,数据分析,本科
,,,,,,,,,
西安,"移动互联网,数据服务",北京字节跳动科技有限公司,2000人以上,https://www.lagou.com/jobs/5056786.html,1-3年,全职,4k-7k,数据分析师,本科
,,,,,,,,,
北京,"移动互联网,教育",北京世纪好未来教育科技有限公司,2000人以上,https://www.lagou.com/jobs/5072596.html,3-5年,全职,15k-30k,数据产品经理/数据分析师,本科
,,,,,,,,,
北京,"移动互联网,O2O",贝壳找房（北京）科技有限公司,2000人以上,https://www.lagou.com/jobs/4810872.html,不限,全职,15k-30k,数据分析主管,本科
,,,,,,,,,
北京,"移动互联网,金融",北京瓴岳信息技术有限公司,150-500人,https://www.lagou.com/jobs/4206490.html,3-5年,全职,25k-45k,数据分析师,本科
,,,,,,,,,
北京,移动互联网,上海基分文化传播有限公司,500-2000人,https://www.lagou.com/jobs/5059428.html,不限,全职,4k-8k,数据分析实习生,硕士
,,,,,,,,,
北京,"企业服务,广告营销",北京丽兹行房地产顾问有限公司,500-2000人,https://www.lagou.com/jobs/3975480.html,1-3年,全职,10k-15k,大数据分析师,本科
,,,,,,,,,
北京,"移动互联网,游戏",浙江齐聚科技有限公司北京分公司,150-500人,https://www.lagou.com/jobs/4409025.html,3-5年,全职,10k-15k,数据分析师,本科
,,,,,,,,,
北京,金融,京东金融,2000人以上,https://www.lagou.com/jobs/5135683.html,3-5年,全职,25k-50k,数据分析师,硕士
,,,,,,,,,
上海,移动互联网,苏州融畅软件科技有限公司,50-150人,https://www.lagou.com/jobs/5133415.html,5-10年,全职,25k-42k,数据分析,本科
,,,,,,,,,
北京,"移动互联网,旅游",北京蚂蜂窝网络科技有限公司,500-2000人,https://www.lagou.com/jobs/4533875.html,不限,实习,2k-4k,数据分析实习生,本科
,,,,,,,,,
北京,金融,随行付支付有限公司,500-2000人,https://www.lagou.com/jobs/4999054.html,5-10年,全职,15k-30k,数据分析,本科
,,,,,,,,,
北京,"移动互联网,游戏",完美世界（北京）软件科技发展有限公司,2000人以上,https://www.lagou.com/jobs/4436287.html,不限,全职,10k-15k,数据分析师(3838),不限
,,,,,,,,,
武汉,"移动互联网,其他",湖北百旺金赋科技有限公司,150-500人,https://www.lagou.com/jobs/4587873.html,1-3年,全职,6k-10k,数据分析师,本科
,,,,,,,,,
北京,移动互联网,联通支付有限公司,150-500人,https://www.lagou.com/jobs/4321774.html,3-5年,全职,15k-25k,数据分析,本科
,,,,,,,,,
北京,"移动互联网,金融",北京轻松筹网络科技有限公司,500-2000人,https://www.lagou.com/jobs/5040403.html,1-3年,全职,15k-25k,数据分析,本科
,,,,,,,,,
